RUNNER WEIGHT,MODEL,CUSOMER,MOULD NAME,RM NAME,RAW MATERIAL GRADE,P.WEIGHT,SHORT WEIGHT,CYCLE TIME,UPH,NO OF CAVITY
0.0046,,ITW,Hinge Pad RR_LH,PP,XPPA-0597,0.001,0.0065,30,120,2
0.0046,,`,Hinge Pad RR_RH,PP,XPPA-0597,0.001,0.0065,30,120,2
0.0024,,ITW,Hinge Pad  FR _LH,PP,XPPA-0597,0.0007,0.0038,30,120,2
0.0024,,ITW,Hinge Pad FR_RH,PP,XPPA-0597,0.0007,0.0038,30,120,2
0.0049,,ITW,Lever FR _ LH,PA6,BKV30,0.0137,0.0186,40,90,1
0.0049,,ITW,Lever FR _ RH,PA6,BKV30,0.0137,0.0186,40,90,1
0.005,,ITW,Lever RR _ LH,PA6 30%,BKV30 WHITE,0.014,0.033,45,80,2
0.005,,ITW,Lever RR _ RH,PA6 30%,BKV30 WHITE,0.014,0.033,45,80,2
0.0073,,ITW,Slider FR_LH,PA6,BKV50,0.011,0.0293,36,100,2
0.0073,,ITW,Slider FR_RH,PA6,BKV50,0.011,0.0293,36,100,2
0.005,,ITW,Slider RR _ LH,PA6,BKV50 WHITE,0.014,0.033,36,100,2
0.005,,ITW,Slider RR _ RH,PA6,BKV50 WHITE,0.014,0.033,36,100,2
0,,ITW,Nut Cap M6 HX PLA,PA6,ZYTEL 70G30HSLR,0.0043,0.0172,45,80,4
0.0044,,ITW,CLAMP,POM,CELCON M90,0.0039,0.0161,30,120,3
0.0028,,ITW,STAY ROD CLIP,POM,CELCON M90,0.0014,0.007,20,180,3
0.01,,ITW,SKIRACK,POM,CELCON M90,0.0075,0.0325,30,120,3
0.003,,ITW,HANDLE COVER,PP,HT148SU2I,0.06554,0.1341,60,60,2
0.0034,,ITW,HANDLE HOOK,PC/ASA,WR-7250H,0.03476,0.0729,60,60,2
0.0015,,ITW,FLAP HOLDER,,NORYEL GTX 973,0.00956,0.0111,36,100,1
0.0063,,ITW,INNOVA PLUG,PP,HIPOLENE 4955T007B,0.00203,0.0124,40,90,3
0.0038,,ITW,MOTOR LOCK PIN,POM,CELCON M90,0.00134,0.0092,30,120,4
0.0025,,ITW,END CAP BUSH,PP,PP,0.0004,0.0057,30,120,8
0.0013,,NATIONAL OGM,HINGE WASHER RH ,POM,M25-44,0.0009,0.0023,20,180,1
0.0013,,NATIONAL OGM,HINGE WASHER LH,POM,M25-44,0.0009,0.0023,20,180,1
0.0064,,HPT,BA DUST CAP,PP,C015EG,0.054,0.1144,50,72,2
0.0127,,HPT,BA RR DUST COVER,POM,M25-44,0.08,0.3327,65,55,4
0.0047,,HPT,CONNECTING COVER,PA66,A3LQ701,0.0022,0.0113,26,138,3
0.0108,,HPT,HA RR DUCT COVER,HDPE,2200J,0.02,0.0508,36,100,2
0.0158,,HPT,PA CAP,POM,M25-44,0.054,0.1238,110,33,2
0.0158,,HPT,MCA CAP,POM,M25-44,0.054,0.1238,110,33,2
0.0047,PA,JU-SHIN,Key Ring Bang_Black,LDPE,16MA400,0.0017,0.0115,28,129,4
0.0047,PA,JU-SHIN,Key Ring Bang_Orange,LDPE,16MA400,0.0017,0.0115,28,129,4
0.0047,PA,JU-SHIN,Key Ring Bang_Yellow,LDPE,16MA400,0.0017,0.0115,28,129,4
0.0035,VALEO RBC,JU-SHIN,T-50442C - Recirculation Slider,POM,M25-44,0.009,0.0215,50,72,2
0.0028,VALEO RBC,JU-SHIN,T-50133C - Recirculation Rotary,PA6 SRF,SGF15%,0.0093,0.0214,36,100,2
0.0027,VALEO RBC,JU-SHIN,T-50153C - Plunger,POM,M25-44,0.0002,0.0033,25,144,4
0.02,,INZI,PCV Housing,PA66 33%,2412GHF6,0.009,0.056,45,80,4
0.0024,,INZI,HA Cover - AC,PP,XPPA-11085,0.2626,0.265,70,51,1
0.0055,,INZI,PA Cover - AC,PP,XPPA-3505,0.317,0.3225,65,55,1
0.0046,,BUTTERFLY,MIXIE BODY _ GREY,ABS,HR120 GREY,0.283,0.2876,60,60,1
0.0046,,BUTTERFLY,MIXIE BODY _  RED,ABS,HR120 RED,0.283,0.2876,60,60,1
0.003,,SUPREME,Inner Cover Out LH - Black,PP,ID-1088,0.042,0.045,36,100,1
0.003,,SUPREME,Inner Cover Out RH - BLACK,PP,ID-1088,0.042,0.045,36,100,1
0.0143,,SUPREME,Adjust Beam BLACK,PA6,SGF30/1031 R BLACK,0.0724,0.159,50,72,2
0.0025,,SUPREME,Top conner_LH BLACK,PA6,SGF30/1031 R BLACK,0.0032,0.0057,40,90,1
0.0025,,SUPREME,Top conner_RH BLACK,PA6,SGF30/1031 R BLACK,0.0032,0.0057,40,90,1
0.0025,,SUPREME,Bottom Corner_LH BLACK,PA6,SGF30/1031 R BLACK,0.0155,0.018,40,90,1
0.0025,,SUPREME,Bottom Corner_RH BLACK,PA6,SGF30/1031 R BLACK,0.0155,0.018,40,90,1
0.0113,,SUPREME,Seat slinding handle BLACK,PA6,SGF30/1031 R BLACK,0.082,0.1753,45,80,2
0.0143,,SUPREME,Adjust Beam GREY,PA6,SGF30/1031 R GREY,0.075,0.1643,50,72,2
0.0025,,SUPREME,Top conner_LH GREY,PA6,SGF30/1031 R GREY,0.0155,0.018,40,90,1
0.0025,,SUPREME,Top conner_RH GREY,PA6,SGF30/1031 R GREY,0.0155,0.018,40,90,1
0.0025,,SUPREME,Bottom Corner_LH GREY,PA6,SGF30/1031 R GREY,0.0033,0.0058,40,90,1
0.0025,,SUPREME,Bottom Corner_RH GREY,PA6,SGF30/1031 R GREY,0.0033,0.0058,40,90,1
0.0113,,SUPREME,Seat slinding handle GREY,PA6,SGF30/1031 R GREY,0.088,0.1873,45,80,2
0,,SUPREME,TATA PRV CAP,PA6,BKV15H2.0,0.022,0.044,30,120,2
0.0056,,SUPREME,DIAL KNOB,ABS,MTH-2,0.0542,0.114,150,24,2
0.005,,SUPREME,HR LOCK FREE,PP,ID-1088,0.0133,0.058,55,65,4
0.005,,SUPREME,HR LOCK ASSY,PP,ID-1088,0.0013,0.0102,55,65,4
0.0032,,SUPREME,SEPERATOR PLATE,PA66,A218V35,0.0141,0.0173,30,120,1
0.0045,,SUPREME,HINGE BUSH CTR B,POM,F20-03_BLACK,0.0014,0.01,30,120,4
0.0045,,SUPREME,HINGE BUSH CTR A,POM,F20-03_white,0.0014,0.01,30,120,4
0.0045,,SUPREME,AR HINGE BUSH,POM,F20-03_white,0.0014,0.01,30,120,4
0.0045,,SUPREME,HINGE BUSH,POM,F20-03_white,0.0014,0.0155,40,90,8
0.003,,SUPREME,HR LOCK PLATE,PP,ID-1088,0.0023,0.0122,50,72,4
0.0045,,SUPREME,HINGE BUSH OTR,POM,F20-03_white,0.0014,0.01,30,120,4
0.0044,SU2I,TOPRUN,LEVER ASY-RR BACK LATCH - NNB,PA6,LS900 NNB,0.046,0.0964,40,90,2
